# GENERATED by `python scripts/ados.py product export`; DO NOT EDIT.
Requirement ID,Outcome ID,Opportunity ID,Bet ID,PRD,Spec,Milestone,Ticket,Change Request,Component,Test Case,Event,Metric,Review,Status,Notes
PRD-001-R01,O-001,OP-001,BET-001,PRD-001,SPEC-001-A01,M-001,TICKET-001,,src/agentic_os/validation.py,TEST-001,trace.updated,METRIC-008,REVIEW-001,Complete,Structure and stable contracts are validated.
PRD-001-R02,O-001,OP-001,BET-001,PRD-001,SPEC-001-A02,M-001,TICKET-001,,src/agentic_os/validation.py,TEST-002,trace.updated,METRIC-008,REVIEW-001,Complete,All minimum fields and targets are enforced.
PRD-001-R03,O-001,OP-001,BET-001,PRD-001,SPEC-001-A03,M-001,TICKET-001,,src/agentic_os/governance.py,TEST-003,approval.granted,METRIC-003,REVIEW-001,Complete,Digest approvals and outcome gates are enforced.
PRD-001-R04,O-001,OP-001,BET-001,PRD-001,SPEC-001-A04,M-001,TICKET-001,,src/agentic_os/governance.py,TEST-004,loop.stopped,METRIC-002,REVIEW-001,Complete,"Plan, start, action, retry, verify, stop, and handoff are implemented."
PRD-001-R05,O-001,OP-001,BET-001,PRD-001,SPEC-001-A05,M-001,TICKET-001,,src/agentic_os/architecture.py,TEST-005,dependency.violation,METRIC-010,REVIEW-001,Complete,"Cycles, layers, and internal APIs are checked."
PRD-001-R06,O-001,OP-001,BET-001,PRD-001,SPEC-001-A06,M-001,TICKET-001,,src/agentic_os/governance.py,TEST-006,artifact.archived,METRIC-001,REVIEW-001,Complete,Stale audits and archive workflow are implemented.
PRD-001-R07,O-001,OP-001,BET-001,PRD-001,SPEC-001-A07,M-001,TICKET-001,,ci/impact-map.json,TEST-007,test.completed,METRIC-006,REVIEW-001,Complete,Changed paths map to focused test sets.
PRD-001-R08,O-001,OP-001,BET-001,PRD-001,SPEC-001-A08,M-001,TICKET-001,,src/agentic_os/metrics.py,TEST-008,metric.summary,METRIC-001,REVIEW-001,Complete,Eleven delivery health metrics are calculated.
PRD-001-R09,O-001,OP-001,BET-001,PRD-001,SPEC-001-A09,M-001,TICKET-001,,src/agentic_os/telemetry.py,TEST-009,agent.action,METRIC-011,REVIEW-001,Complete,All required lifecycle event names and fields validate.
PRD-001-R10,O-001,OP-001,BET-001,PRD-001,SPEC-001-A10,M-001,TICKET-001,,src/agentic_os/metrics.py,TEST-010,alert.triggered,METRIC-011,REVIEW-001,Complete,"Markdown, JSON, HTML, and threshold output are generated."
